"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
12239,5,180,3,1,4,2,NA,NA,7,8,6,4,6,9,6,8,1,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,30,1,NA,2,800,21,8,NA,2018,1,NA,1,4,2,NA,7,6,40,1,45,86,1,3257,2,2,NA,NA,3,"North",2988,274
12250,5,240,2,1,3,2,NA,NA,7,9,6,6,5,5,7,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,40,1,NA,3,620,17,1,NA,NA,1,NA,1,2,2,NA,9,6,35,1,40,85,1,2341,2,1,2,1,3,"Southern",2520,630
12403,5,180,3,3,NA,2,NA,NA,5,4,3,3,2,1,2,5,2,1,3,NA,NA,4,2,"RU",1,"6666","RUS","000",2,26,NA,4,3,610,16,1,NA,NA,1,NA,1,1,2,NA,2,2,40,1,40,47,4,5223,2,2,NA,NA,3,"Northeastern",1697,424
12407,5,180,3,1,1,2,NA,NA,5,7,2,0,5,7,5,5,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,38,6,NA,4,520,15,1,NA,NA,1,NA,1,4,2,NA,3,3,168,1,168,47,4,9334,2,2,NA,NA,3,"Central",1540,308
12458,4,60,2,1,1,1,1,2,7,7,7,4,6,7,7,7,3,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",1,60,1,NA,2,720,15,1,NA,NA,2,3,NA,1,1,2,10,10,55,1,55,1,4,6130,2,2,NA,NA,2,"Western",2901,725
12461,5,240,1,1,2,1,2,2,0,4,0,0,4,0,0,8,3,1,3,NA,NA,5,1,"6666",1,"6666","RUS","999",2,62,1,NA,3,423,12,1,NA,NA,1,NA,1,1,2,NA,10,0,40,1,40,85,1,9112,2,1,1,2,1,"Northeastern",1989,994
12498,5,420,4,2,NA,2,NA,NA,NA,7,5,5,5,9,7,7,2,1,3,NA,NA,3,1,"6666",2,"FI","EST","RUS",2,46,3,6,4,313,11,1,NA,NA,1,NA,1,1,2,NA,7,7,40,1,40,45,4,1439,2,2,NA,NA,3,"Southern",684,228
12517,5,60,3,1,2,2,NA,NA,5,10,7,5,8,8,5,10,2,2,NA,2,NA,9,1,"6666",1,"6666","EST","000",2,39,NA,4,3,610,17,1,NA,NA,1,NA,1,3,2,NA,10,5,40,1,60,86,6,3221,2,2,NA,NA,3,"Western",2397,799
12532,5,60,3,2,NA,2,NA,NA,7,9,6,2,2,2,3,10,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,50,NA,1,3,520,14,1,NA,NA,1,NA,1,4,1,26,9,6,40,1,40,32,4,3122,2,1,1,2,3,"Western",2115,705
12595,5,180,3,1,2,1,1,3,5,7,4,4,3,7,3,8,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,65,NA,5,3,323,11,6,NA,2011,1,NA,1,3,2,NA,8,5,40,1,44,87,4,5321,2,2,NA,NA,2,"Central",565,565
12603,5,180,3,2,NA,2,NA,NA,7,8,6,6,7,6,6,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,58,1,NA,3,423,14,1,NA,NA,1,NA,1,3,2,NA,9,8,40,1,40,86,2,3221,2,2,NA,NA,2,"Southern",4105.332236695,1368
12623,5,150,3,3,NA,2,NA,NA,5,8,5,4,4,5,4,8,4,1,3,NA,NA,6,2,"RU",2,"RU","RUS","000",1,31,1,NA,1,213,9,1,NA,NA,1,NA,2,3,1,3,0,0,40,1,48,25,4,9329,1,1,2,1,3,"Northeastern",2153,718
12687,1,NA,4,1,NA,2,NA,NA,5,5,9,7,8,7,5,8,3,2,NA,2,NA,2,1,"6666",2,"RU","EST","RUS",2,84,NA,5,4,113,5,6,NA,1993,1,NA,1,2,2,NA,0,0,40,1,40,56,1,5120,2,2,NA,NA,3,"Southern",1075,538
12739,5,480,3,2,NA,1,5,1,6,8,6,0,0,5,3,9,1,2,NA,1,2,8,1,"6666",1,"6666","EST","000",2,28,3,6,3,520,16,1,NA,NA,2,1,NA,1,1,1,10,10,30,1,50,47,5,1420,1,1,2,2,3,"Southern",889,444
12761,1,NA,3,3,NA,2,NA,NA,NA,7,7,5,3,10,7,5,4,2,NA,2,NA,0,2,"RU",2,"BY","RUS","000",1,71,1,NA,1,213,8,6,NA,NA,1,NA,1,4,2,NA,1,0,40,1,40,6,4,7212,2,2,NA,NA,2,"Northeastern",758,379
12767,1,NA,3,2,NA,2,NA,NA,5,7,7,7,8,8,4,5,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,87,1,NA,4,213,8,6,NA,1986,1,NA,1,2,2,NA,6,0,40,1,40,64,1,3343,2,2,NA,NA,2,"Western",913,456
12774,5,720,2,1,4,2,NA,NA,7,7,5,5,7,4,6,8,2,2,NA,2,NA,7,1,"6666",1,"6666","RUS","000",1,27,NA,6,1,520,14,1,NA,NA,1,NA,1,1,2,NA,9,6,40,1,47,45,4,3343,2,2,NA,NA,3,"North",3230.98645592108,3230.98645592108
12816,4,80,2,3,NA,1,1,4,3,5,0,0,3,0,5,6,3,1,3,NA,NA,4,2,"6500",2,"RU","RUS","000",1,47,1,NA,3,323,11,1,NA,NA,1,NA,1,2,2,NA,2,0,40,1,40,41,4,7112,1,1,2,1,2,"Northeastern",2028,1014
12887,5,180,3,1,2,2,NA,NA,4,5,6,5,4,7,7,6,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,60,NA,4,4,720,16,1,NA,NA,1,NA,1,1,1,5,8,7,40,1,40,85,1,1341,2,2,NA,NA,3,"Southern",656,656
12927,5,300,3,1,4,1,4,3,5,8,8,6,7,8,6,9,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,39,3,6,2,800,24,1,NA,NA,1,NA,1,3,1,2,7,6,40,1,40,NA,2,1223,1,2,NA,NA,3,"Southern",4013.52976537765,1003
13006,1,NA,4,1,1,2,NA,NA,NA,5,4,0,2,5,0,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,61,1,NA,4,323,11,5,NA,2016,2,3,NA,1,1,3,9,10,60,1,60,55,4,5151,2,2,NA,NA,2,"Southern",833,353
13053,5,240,2,3,NA,2,NA,NA,2,8,6,7,9,6,4,9,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,16,NA,6,3,113,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",2909,0
13099,5,180,1,1,NA,1,NA,NA,5,7,5,2,2,9,2,7,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,70,NA,5,2,423,13,6,NA,NA,1,NA,1,3,2,NA,10,2,20,1,20,47,4,5223,2,2,NA,NA,2,"North",3424.85858267173,3424.85858267173
13240,5,240,3,1,NA,2,NA,NA,5,10,7,0,8,6,6,10,2,1,4,NA,NA,5,1,"6666",1,"6666","EST","000",2,35,1,NA,3,610,17,8,NA,2018,1,NA,1,4,2,NA,1,1,40,1,60,16,4,1212,2,1,1,1,3,"Southern",2031,185
13263,4,60,4,2,NA,2,NA,NA,6,6,0,1,10,10,7,10,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,46,1,NA,4,720,17,1,NA,NA,1,NA,1,2,2,NA,0,3,40,1,60,41,4,7115,1,1,2,2,2,"Southern",1681,560
13335,5,300,3,3,NA,2,NA,NA,6,7,7,6,9,7,5,5,3,1,2,NA,NA,5,1,"6666",2,"FI","EST","FIN",2,18,NA,6,3,213,11,2,NA,2018,1,NA,1,3,2,NA,10,0,4,1,4,53,4,4412,2,2,NA,NA,3,"Southern",889,0
13351,4,120,2,1,6,1,6,2,5,9,2,2,2,7,6,9,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,65,1,NA,5,720,16,1,NA,NA,1,NA,1,4,2,NA,9,7,40,1,40,84,1,2612,2,2,NA,NA,2,"Southern",4017.60526183517,2009
13442,5,60,3,1,NA,2,NA,NA,NA,8,7,6,6,7,7,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,50,3,4,3,323,11,1,NA,NA,2,3,NA,1,1,2,10,10,50,1,50,47,4,5223,2,2,NA,NA,2,"Southern",1395,698
13461,5,180,2,3,NA,1,NA,NA,4,10,6,5,4,3,3,9,3,2,NA,2,NA,3,2,"6500",2,"RU","RUS","000",2,64,NA,5,1,720,16,6,NA,2012,1,NA,1,4,2,NA,10,6,40,1,40,58,4,2642,2,1,1,2,2,"North",462,462
13496,5,570,3,1,2,1,4,3,5,8,6,6,8,2,4,9,3,1,3,NA,NA,7,1,"6666",1,"6666","RUS","000",2,30,NA,6,3,620,15,1,NA,NA,1,NA,1,4,2,NA,8,5,40,1,40,64,4,2412,1,1,2,2,3,"North",2257,752
13538,1,NA,4,3,NA,2,NA,NA,NA,7,8,8,NA,NA,8,5,3,1,3,NA,NA,6,2,"RU",2,"RU","RUS","000",2,61,NA,4,3,423,15,1,NA,NA,1,NA,1,3,2,NA,0,0,40,1,40,47,4,5223,2,1,2,1,2,"Northeastern",544,544
13655,5,120,3,1,1,1,2,2,6,8,7,5,9,9,9,8,1,1,2,NA,NA,7,1,"6666",1,"6666","EST","000",2,41,1,NA,3,520,16,1,NA,NA,1,NA,1,5,1,3,8,8,35,1,35,51,4,5111,1,2,NA,NA,1,"North",2664,666
13671,5,240,3,1,1,2,NA,NA,5,8,8,5,3,4,3,10,4,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,52,NA,6,4,313,12,1,NA,NA,1,NA,1,1,2,NA,10,8,40,1,40,10,4,5120,2,2,NA,NA,2,"Southern",566,566
13677,2,NA,3,1,4,2,NA,NA,5,3,3,2,3,4,1,3,4,1,3,NA,NA,5,1,"6666",1,"6666","RUS","000",1,59,NA,5,1,313,10,3,NA,2017,1,NA,2,3,2,NA,2,1,40,1,40,88,1,5322,2,1,1,1,2,"Northeastern",6,6
13681,5,450,4,1,1,2,NA,NA,NA,6,4,4,6,7,3,6,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,46,NA,4,1,313,12,1,NA,NA,1,NA,1,3,2,NA,5,2,40,1,40,NA,4,3322,2,2,NA,NA,3,"North",1355,678
13687,5,45,3,2,NA,2,NA,NA,5,7,8,5,8,6,2,8,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,32,3,6,3,323,13,1,NA,NA,1,NA,1,1,2,NA,10,7,40,1,40,43,4,3113,2,2,NA,NA,3,"North",3597.30749484152,899
13693,5,360,3,1,1,2,NA,NA,5,8,8,6,6,10,6,8,1,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",2,46,1,NA,4,620,15,1,NA,NA,1,NA,1,4,2,NA,8,5,40,1,40,69,1,2411,2,2,NA,NA,3,"Southern",1988,497
13719,1,NA,3,1,10,1,2,2,5,9,8,5,5,5,8,8,3,1,2,NA,NA,7,1,"6666",1,"6666","EST","000",2,81,NA,5,3,423,13,6,NA,2014,1,NA,1,1,2,NA,5,5,168,1,168,91,1,9112,2,2,NA,NA,2,"North",689,230
13767,5,120,4,1,11,2,NA,NA,NA,8,7,6,7,7,9,10,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,24,3,6,4,213,11,1,NA,NA,1,NA,1,3,2,NA,8,0,40,1,40,81,2,9112,2,2,NA,NA,3,"Western",1105,368
13777,5,120,3,1,4,2,NA,NA,5,5,3,2,3,8,7,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,28,NA,6,4,323,13,1,NA,NA,1,NA,1,1,2,NA,8,5,40,1,40,1,4,6111,2,1,2,1,3,"Central",460,230
13834,1,NA,3,1,2,1,2,3,NA,4,NA,5,5,NA,5,5,4,1,3,NA,NA,9,1,"6666",2,"RU","RUS","000",1,86,1,NA,3,113,4,6,NA,1992,1,NA,1,4,2,NA,0,0,40,1,40,1,3,8332,2,2,NA,NA,2,"North",585,292
13915,1,NA,3,1,4,2,NA,NA,4,7,6,6,NA,10,8,7,3,1,2,NA,NA,2,1,"6666",1,"6666","EST","000",2,77,NA,5,3,321,10,6,NA,2001,1,NA,1,4,2,NA,8,0,40,1,40,49,1,9112,2,2,NA,NA,2,"Southern",461,461
13966,5,120,3,2,NA,2,NA,NA,5,8,8,7,6,3,7,9,2,2,NA,2,NA,9,1,"6666",1,"6666","EST","000",1,56,3,4,2,423,12,1,NA,NA,2,3,NA,1,1,3,9,4,40,1,40,41,4,1323,2,1,1,1,3,"North",2550,638
13971,3,NA,3,1,2,1,2,2,5,5,6,6,6,7,5,5,3,1,1,NA,NA,5,2,"RU",2,"UA","RUS","000",1,59,1,NA,1,423,15,1,NA,NA,1,NA,1,1,2,NA,5,4,40,1,40,10,4,7233,2,2,NA,NA,3,"North",806,403
14023,5,180,2,1,4,1,4,2,4,8,6,4,6,9,8,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,25,NA,6,3,313,17,1,NA,NA,1,NA,1,4,2,NA,3,1,40,1,40,86,2,3256,1,2,NA,NA,3,"Central",1223,1223
14051,5,120,1,1,NA,1,NA,NA,1,5,3,1,2,1,4,5,3,1,3,NA,NA,6,1,"6666",1,"6666","RUS","000",2,80,NA,5,1,800,18,1,NA,NA,1,NA,2,3,2,NA,7,3,15,1,15,85,4,2330,2,2,NA,NA,2,"North",611,611
14054,5,600,3,1,2,2,NA,NA,5,6,1,1,5,1,4,7,2,2,NA,2,NA,2,1,"6666",1,"6666","RUS","000",1,30,NA,5,1,620,15,1,NA,NA,1,NA,1,3,2,NA,0,0,40,1,40,64,4,2512,2,1,2,2,3,"North",2029,2029
14074,5,240,3,1,1,2,NA,NA,2,8,8,8,8,7,7,9,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,52,3,4,1,423,13,1,NA,NA,2,30,NA,3,1,10,10,10,40,1,40,96,4,1439,2,2,NA,NA,3,"North",4634.16826902869,2317
14078,5,300,2,3,NA,2,NA,NA,5,5,2,3,5,6,3,7,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,26,NA,6,1,313,12,1,NA,NA,1,NA,1,1,1,4,7,4,40,1,40,56,4,5131,2,1,1,1,3,"Southern",766,766
14086,4,20,2,1,2,1,2,3,5,2,5,2,0,2,2,10,2,1,3,NA,NA,8,1,"6666",2,"RU","RUS","000",2,66,NA,4,3,423,15,6,NA,2018,1,NA,2,4,2,NA,5,0,37,1,40,81,3,9112,2,1,1,1,2,"North",1,0
14104,5,720,1,3,NA,1,4,2,4,8,7,7,8,9,7,8,1,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,21,NA,6,3,313,14,2,NA,2018,1,NA,1,3,2,NA,6,3,40,1,40,79,4,5113,2,2,NA,NA,3,"North",2220,0
14136,5,300,1,1,1,2,NA,NA,7,8,5,2,5,8,9,7,1,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,26,NA,6,3,313,17,1,NA,NA,2,2,NA,1,1,2,10,10,20,1,20,45,4,1420,1,2,NA,NA,3,"Southern",1107,1107
14260,5,360,2,1,2,1,2,2,5,7,6,6,6,7,7,7,2,2,NA,2,NA,1,1,"6666",2,"RU","RUS","000",2,73,NA,5,3,720,16,1,NA,NA,1,NA,1,3,1,2,10,7,20,1,20,86,4,2212,2,2,NA,NA,2,"Northeastern",1384,1384
14322,5,180,4,2,NA,2,NA,NA,5,8,3,3,3,8,4,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,34,3,6,4,213,9,1,NA,NA,1,NA,1,2,1,4,8,5,40,1,40,41,4,7131,1,1,2,2,3,"Western",3972.61593859167,1324
14366,5,600,1,1,4,2,NA,NA,6,7,5,5,6,6,7,8,1,2,NA,1,2,7,1,"6666",1,"6666","EST","ENG",2,40,NA,6,1,720,17,1,NA,NA,1,NA,1,4,2,NA,8,6,40,1,43,69,1,2411,1,2,NA,NA,3,"North",4317.08602416785,4317.08602416785
14390,4,60,4,2,NA,2,NA,NA,5,9,5,5,4,6,5,5,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,35,3,6,5,213,12,1,NA,NA,1,NA,1,2,2,NA,1,0,40,1,40,1,4,8341,2,1,2,2,3,"Central",888,222
14446,5,120,4,2,NA,2,NA,NA,5,6,5,5,2,2,4,6,2,1,3,NA,NA,6,1,"6666",1,"6666","RUS","000",2,39,NA,4,1,423,14,1,NA,NA,1,NA,1,4,2,NA,8,0,40,1,40,81,4,9112,2,1,2,2,3,"North",748,374
14636,5,120,3,3,NA,1,2,3,5,7,2,5,5,6,1,7,4,1,3,NA,NA,10,2,"6500",1,"6666","RUS","000",1,27,3,6,1,323,12,1,NA,NA,2,20,NA,2,1,20,9,9,40,1,45,41,4,1323,2,2,NA,NA,3,"North",1119,373
14655,1,NA,1,1,2,1,2,2,10,10,8,10,5,4,0,10,3,1,2,NA,NA,4,1,"6666",1,"6666","EST","888",2,73,1,NA,4,313,11,6,NA,2005,2,0,NA,1,2,NA,10,10,NA,2,84,1,5,6121,2,2,NA,NA,2,"Central",821,410
14702,1,NA,2,1,NA,2,NA,NA,NA,5,5,2,3,6,4,8,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,87,1,NA,3,213,7,6,NA,2013,1,NA,1,4,2,NA,8,0,40,1,40,86,2,5329,2,2,NA,NA,2,"Southern",932,466
14730,5,510,2,1,4,2,NA,NA,6,8,7,6,5,8,2,9,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","ENG",1,35,1,NA,5,620,16,1,NA,NA,1,NA,1,2,1,75,6,6,40,1,45,84,1,3355,2,2,NA,NA,3,"Southern",2300,575
14733,5,300,2,3,NA,1,2,2,5,7,5,5,5,8,5,10,1,1,8,NA,NA,10,2,"RU",2,"DE","RUS","000",1,63,1,NA,1,610,15,1,NA,NA,1,NA,2,2,2,NA,9,1,40,1,50,93,1,3512,2,2,NA,NA,2,"Northeastern",1616,808
14742,2,NA,3,1,1,1,2,3,5,10,7,7,4,8,5,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,68,3,5,4,213,8,6,NA,2012,1,NA,1,3,2,NA,9,2,40,1,40,85,1,9412,2,2,NA,NA,3,"Western",839,420
14749,4,240,3,2,NA,2,NA,NA,5,6,4,4,5,8,5,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,64,NA,6,3,313,11,1,NA,NA,1,NA,1,3,2,NA,6,1,40,1,40,87,1,5321,2,2,NA,NA,3,"Southern",1124,1124
14763,4,120,3,1,3,1,5,2,3,8,6,5,7,8,7,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,39,3,6,5,620,25,9,NA,NA,2,0,NA,1,2,NA,8,NA,2,1,2,90,1,2652,2,1,2,1,3,"Southern",2232,0
14792,1,NA,3,3,NA,1,2,3,5,8,7,7,3,1,1,6,3,2,NA,2,NA,0,2,"RU",2,"RU","RUS","000",1,79,1,NA,1,213,8,6,NA,2004,1,NA,1,3,2,NA,5,2,40,1,50,49,1,8331,2,2,NA,NA,2,"Northeastern",953,476
14813,2,NA,4,2,NA,2,NA,NA,5,5,5,0,NA,5,5,5,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","RUS",2,36,3,6,4,113,4,8,NA,2017,1,NA,1,2,2,NA,0,0,40,1,40,1,4,9212,2,2,NA,NA,3,"Southern",776,214
14828,2,NA,4,3,NA,1,2,3,5,6,3,7,3,3,3,7,3,1,3,NA,NA,7,2,"6500",2,"RU","RUS","000",2,60,1,NA,3,423,14,1,NA,NA,1,NA,1,2,2,NA,5,0,40,1,40,87,1,5153,2,1,2,1,3,"Northeastern",1293,646
14956,4,60,3,1,2,2,NA,NA,5,7,3,7,7,5,7,8,3,2,NA,1,3,2,1,"6666",1,"6666","RUS","EST",1,30,1,NA,3,313,12,1,NA,NA,1,NA,1,3,2,NA,1,0,40,1,40,20,4,8131,2,1,2,2,3,"Northeastern",2314,771
15152,1,NA,3,3,NA,2,NA,NA,NA,3,10,9,5,NA,6,3,4,1,3,NA,NA,8,2,"6500",2,"BY","RUS","BEL",2,76,NA,5,3,313,10,6,NA,2006,1,NA,1,1,2,NA,5,3,48,1,50,47,4,5211,2,2,NA,NA,2,"Northeastern",434,434
15278,2,NA,2,1,1,1,1,2,9,7,5,3,3,7,0,7,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,68,1,NA,4,520,13,6,NA,2011,1,NA,1,4,2,NA,9,5,40,1,40,84,1,3431,1,2,NA,NA,2,"North",1194,597
15284,5,240,3,1,4,2,NA,NA,10,8,8,5,5,3,3,8,1,2,NA,2,NA,0,2,"6500",2,"KZ","RUS","000",1,48,1,NA,1,323,10,1,NA,NA,1,NA,1,2,2,NA,10,0,40,1,40,41,4,9313,1,1,2,2,2,"North",1755,439
15292,5,120,2,1,4,1,1,2,8,8,8,5,8,7,7,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,53,1,NA,3,323,11,1,NA,NA,1,NA,1,3,2,NA,6,2,40,1,40,25,4,7212,2,2,NA,NA,2,"Central",2556,1278
15336,5,420,2,1,4,2,NA,NA,8,7,6,4,5,4,3,8,3,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",2,67,1,NA,3,720,16,1,NA,NA,2,0,NA,NA,2,NA,9,6,30,1,35,47,5,2411,2,2,NA,NA,3,"Southern",2160,1080
15412,5,480,3,1,2,2,NA,NA,4,3,1,3,1,5,0,4,2,1,3,NA,NA,10,1,"6666",1,"6666","RUS","000",1,26,4,6,1,423,15,1,NA,NA,1,NA,1,3,2,NA,4,0,50,1,55,41,4,9313,1,1,2,1,3,"Northeastern",1943,648
15451,4,60,2,1,11,2,NA,NA,4,10,9,7,7,10,6,10,2,2,NA,2,NA,0,1,"6666",2,"RU","RUS","EST",2,58,1,NA,4,323,10,1,NA,NA,1,NA,1,3,2,NA,10,0,40,1,40,1,4,6121,2,2,NA,NA,2,"Southern",1461,730
15463,5,360,3,2,NA,2,NA,NA,5,8,7,7,8,8,4,8,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,31,NA,6,1,720,20,1,NA,NA,1,NA,1,4,2,NA,9,7,38,1,42,85,2,2310,2,2,NA,NA,3,"North",1289,1289
15583,5,60,2,1,3,1,6,2,8,7,8,7,9,9,6,7,2,1,2,NA,NA,2,1,"6666",1,"6666","EST","000",1,53,1,NA,1,620,15,1,NA,NA,2,0,NA,1,2,NA,10,10,45,1,45,47,5,5221,2,2,NA,NA,2,"Southern",597,298
15643,5,540,3,1,4,2,NA,NA,6,6,6,6,7,8,6,6,3,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,42,1,NA,1,620,15,1,NA,NA,1,NA,1,3,2,NA,7,5,40,1,40,35,4,2431,2,2,NA,NA,3,"North",1634,408
15672,4,210,3,2,NA,2,NA,NA,6,6,5,4,0,8,8,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,54,3,4,5,323,12,8,NA,2012,1,NA,1,2,2,NA,5,0,40,1,40,13,4,8153,2,1,1,1,2,"Southern",1497,277
15690,5,120,2,1,1,1,1,1,8,5,8,2,5,9,3,5,2,2,NA,2,NA,9,1,"6666",1,"6666","EST","000",2,59,NA,4,2,423,16,1,NA,NA,1,NA,1,1,2,NA,10,10,40,1,44,47,4,5223,2,1,2,1,3,"North",683,342
15691,5,90,4,3,NA,2,NA,NA,NA,9,NA,NA,5,7,NA,7,1,2,NA,2,NA,1,1,"6666",1,"6666","RUS","000",1,16,NA,6,1,213,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"North",5579.85579023573,0
15694,5,300,4,2,NA,2,NA,NA,NA,6,5,3,3,8,6,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,23,NA,6,4,323,13,1,NA,NA,1,NA,1,4,2,NA,2,2,40,1,40,50,4,9412,2,2,NA,NA,3,"Southern",760,380
15783,5,120,3,1,4,1,6,2,5,10,10,8,8,7,8,9,2,2,NA,2,NA,10,1,"6666",1,"6666","EST","000",1,55,1,NA,2,720,16,1,NA,NA,2,4,NA,1,1,4,10,10,40,1,40,41,4,1323,2,2,NA,NA,3,"North",2898,414
15793,5,480,2,1,NA,1,NA,NA,5,9,4,3,6,9,8,9,1,1,2,NA,NA,3,1,"6666",1,"6666","EST","000",1,45,3,6,4,720,20,1,NA,NA,1,NA,1,4,1,10,9,7,40,1,40,58,4,2642,2,2,NA,NA,3,"North",3153.31832645461,1051
15804,1,NA,3,1,NA,2,NA,NA,NA,6,6,6,6,8,6,5,3,1,2,NA,NA,3,1,"6666",1,"6666","EST","000",2,83,NA,6,4,213,8,6,NA,1990,1,NA,1,4,2,NA,3,1,40,1,40,16,1,5230,2,2,NA,NA,2,"Northeastern",422,422
15904,3,NA,2,1,4,1,4,2,5,9,9,7,6,8,5,9,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,63,1,NA,4,520,16,1,NA,NA,1,NA,1,2,2,NA,5,2,40,1,40,86,1,5311,2,2,NA,NA,2,"Southern",1742,871
15944,5,120,4,3,NA,2,NA,NA,5,6,7,5,5,2,3,7,2,2,NA,2,NA,5,2,"UA",2,"UA","RUS","000",1,41,1,NA,3,323,12,1,NA,NA,1,NA,1,4,2,NA,8,1,40,1,40,43,4,7411,1,1,1,2,3,"North",2218,739
15947,5,600,2,2,NA,1,2,2,5,7,7,7,8,7,7,6,2,1,2,NA,NA,8,1,"6666",2,"RU","RUS","000",1,45,1,NA,1,720,18,1,NA,NA,2,3,NA,1,1,3,10,10,NA,2,40,25,5,3122,2,2,NA,NA,2,"Northeastern",1858,619
15952,4,30,3,2,NA,2,NA,NA,5,5,3,0,0,7,3,7,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,63,3,6,4,313,10,5,NA,2018,1,NA,1,3,2,NA,7,0,45,1,45,16,4,8172,2,1,2,2,2,"Central",1268,322
15967,5,60,2,1,4,1,6,2,5,3,4,7,8,7,6,8,2,1,2,NA,NA,9,1,"6666",1,"6666","EST","000",1,61,NA,1,1,423,12,1,NA,NA,1,NA,1,5,2,NA,0,0,65,1,65,49,4,8331,2,1,1,2,2,"North",971,971
15975,2,NA,2,2,NA,2,NA,NA,NA,5,NA,5,5,7,4,10,4,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,80,NA,6,3,710,16,6,NA,2005,1,NA,1,3,2,NA,8,3,40,1,40,25,4,3116,2,2,NA,NA,2,"North",431,431
15986,4,300,2,1,2,1,2,1,NA,8,6,7,8,7,8,8,3,2,NA,2,NA,10,1,"6666",2,"UA","RUS","000",1,84,1,NA,3,423,13,6,NA,2016,1,NA,1,3,2,NA,10,0,40,1,40,25,4,7223,2,2,NA,NA,2,"Western",659,330
16010,1,NA,2,1,3,1,3,1,8,6,5,6,5,8,3,8,2,1,2,NA,NA,4,1,"6666",1,"6666","EST","000",2,78,NA,6,1,800,19,6,NA,2015,1,NA,2,2,2,NA,7,1,16,1,16,85,2,2310,2,2,NA,NA,2,"Southern",427,427
