"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
61803,5,60,3,1,6,1,6,2,8,7,2,2,2,9,5,8,3,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,38,1,NA,1,323,13,1,NA,NA,1,NA,1,2,2,NA,2,5,40,1,40,41,4,7111,1,1,1,1,3,"North",1598,799
61813,1,NA,3,2,NA,1,2,2,5,5,4,5,4,7,4,5,4,1,2,NA,NA,8,1,"6666",2,"RU","EST","000",2,89,NA,5,5,113,6,6,NA,1986,1,NA,1,3,2,NA,2,1,40,1,40,1,3,9211,2,2,NA,NA,2,"Southern",1139,380
61846,5,420,4,3,NA,2,NA,NA,5,9,8,9,9,7,8,9,3,2,NA,2,NA,0,1,"6666",1,"6666","RUS","999",1,18,NA,6,3,213,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Northeastern",1237,0
62027,1,NA,2,1,2,1,2,3,NA,5,4,6,3,5,4,5,3,1,3,NA,NA,6,1,"6666",2,"RU","RUS","000",2,84,NA,5,1,0,4,6,NA,1988,1,NA,1,4,2,NA,9,4,50,1,55,1,3,6111,2,2,NA,NA,2,"North",538,269
62035,5,300,4,2,NA,2,NA,NA,6,8,1,1,1,6,4,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,25,3,6,1,321,12,1,NA,NA,1,NA,1,1,1,2,10,0,35,1,35,1,4,3323,2,1,2,1,3,"Southern",1027,342
62051,1,NA,4,2,NA,2,NA,NA,NA,0,0,0,0,5,0,5,5,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,54,NA,1,4,313,12,8,NA,1993,1,NA,1,3,2,NA,0,0,40,1,40,1,4,8341,2,1,1,1,3,"Southern",36,36
62192,5,120,2,1,1,1,1,2,8,9,8,3,9,8,7,8,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",1,43,3,6,1,520,15,1,NA,NA,2,0,NA,1,2,NA,10,10,40,1,40,68,4,3334,2,2,NA,NA,3,"North",3272.05197419971,818
62250,5,120,3,2,NA,2,NA,NA,5,10,10,10,10,6,10,10,1,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,24,3,6,1,620,15,1,NA,NA,1,NA,1,2,1,22,10,10,35,1,38,85,2,2300,2,2,NA,NA,3,"North",2109,1054
62377,5,300,3,2,NA,2,NA,NA,5,10,7,7,3,9,9,9,1,2,NA,2,NA,7,1,"6666",1,"6666","RUS","000",1,49,1,NA,3,520,13,1,NA,NA,1,NA,1,4,1,176,10,10,40,1,40,49,4,1349,2,2,NA,NA,3,"Southern",1540,770
62445,5,420,1,1,NA,2,NA,NA,5,7,3,5,4,6,6,8,2,2,NA,2,NA,7,1,"6666",1,"6666","EST","ENG",2,25,NA,6,4,620,17,2,NA,NA,1,NA,NA,NA,2,NA,6,5,40,1,40,84,1,2432,2,1,2,1,3,"North",3255.16072990706,3255.16072990706
62490,3,NA,3,3,NA,1,2,3,3,6,5,5,5,7,4,6,3,1,3,NA,NA,7,2,"RU",2,"RU","RUS","000",2,69,NA,5,2,313,10,1,NA,NA,1,NA,1,1,2,NA,3,0,20,1,20,68,4,9613,2,1,2,2,2,"North",943,472
62502,5,480,2,1,1,1,1,2,5,7,7,5,9,10,7,5,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,37,1,NA,4,520,16,1,NA,NA,1,NA,1,3,1,2,7,1,40,1,40,47,4,1212,2,2,NA,NA,3,"North",4149.00642888679,1383
62543,5,120,3,2,NA,2,NA,NA,10,9,10,10,8,5,8,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,15,NA,6,3,113,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",1044,0
62544,5,360,3,1,1,1,1,3,4,9,7,7,5,8,6,9,3,2,NA,2,NA,10,1,"6666",1,"6666","EST","000",2,35,3,6,1,610,18,1,NA,NA,1,NA,1,1,2,NA,10,9,40,1,40,47,4,3343,2,1,2,2,3,"North",1832,916
62558,5,600,2,2,NA,2,NA,NA,3,7,4,3,5,6,5,7,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,28,3,6,2,720,19,1,NA,NA,1,NA,1,1,2,NA,8,8,40,1,40,69,4,2611,2,2,NA,NA,3,"Southern",2703,1352
62570,1,NA,3,1,2,1,2,3,5,6,6,6,0,5,2,7,2,2,NA,2,NA,5,1,"6666",2,"RU","EST","888",1,90,NA,5,3,313,11,6,NA,1998,1,NA,1,1,1,1,0,0,40,1,48,17,3,8311,2,2,NA,NA,2,"North",439,439
62574,5,60,3,1,1,1,4,3,7,9,9,5,6,8,7,10,1,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,51,1,NA,3,610,16,1,NA,NA,1,NA,1,1,2,NA,10,8,40,1,45,1,4,6121,1,2,NA,NA,3,"Central",2838,946
